id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
117,Gym Sack Black,"Mochila espaciosa, ligera y resistente para guardar tus guantes y material de entrenamiento.  
 Sistema de ajuste personalizable de cuerdas. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,7.92 EUR,https://n1gloves.com/en/inicio/117-gym-sack-black-0685071015025,https://n1gloves.com/1125-large_default/gym-sack-black.jpg,N1 Goalkeeper,0685071015025,AC-0001,9
13533,Goalkeeper Gloves Ares 2.0 Kids Neon,Kids Goalkeeper gloves  with negative cut and German latex palm 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/en/inicio/13533-goalkeeper-gloves-ares-20-kids-neon,https://n1gloves.com/9371-large_default/goalkeeper-gloves-ares-20-kids-neon.jpg,N1 Goalkeeper,,GL-KIDARE-324X,68
13534,Goalkeeper Gloves Ares 2.0 Kids Orange,Kids Goalkeeper gloves  with negative cut and German latex palm 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/en/inicio/13534-goalkeeper-gloves-ares-20-kids-orange,https://n1gloves.com/10895-large_default/goalkeeper-gloves-ares-20-kids-orange.jpg,N1 Goalkeeper,,GL-KIDARE-0300,71
13537,Goalkeeper Gloves Scorpius 2.0 Kids Aqua,Kids Goalkeeper gloves  with negative cut and German latex palm 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/en/inicio/13537-goalkeeper-gloves-scorpius-20-kids-aqua,https://n1gloves.com/10880-large_default/goalkeeper-gloves-scorpius-20-kids-aqua.jpg,N1 Goalkeeper,,GL-KIDSCO-0298,61
13543,Goalkeeper Gloves Ares 2.0 Kids White,Kids Goalkeeper gloves  with negative cut and German latex palm 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/en/inicio/13543-goalkeeper-gloves-ares-20-kids-white,https://n1gloves.com/10887-large_default/goalkeeper-gloves-ares-20-kids-white.jpg,N1 Goalkeeper,,GL-KIDARE-0299,60
15125,Goalkeeper Gloves Ares 2.0 Blue Pink UGT+ II,"Discover the evolution of excellence with the Ares 2.0 UGT+ II goalkeeper gloves, part of N1's Premium line. Equipped with advanced technology and designed for the most demanding goalkeepers, these gloves represent a bold step forward in terms of grip, comfort, and confidence on the field",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/en/inicio/15125-goalkeeper-gloves-ares-20-blue-pink-ugt-ii,https://n1gloves.com/14383-large_default/goalkeeper-gloves-ares-20-blue-pink-ugt-ii.jpg,N1 Goalkeeper,,GL-AREBLU-0317,55
16047,Inflatable Dummy N1 - 180 cm,"Inflatable goalkeeper training dummy.    Ideal for both goalkeeper-specific training sessions simulating an attacker or defender that serves as opposition in the exercise, as well as for team training in tasks such as crossing and finishing. Its high resistance, thanks to the material it's made of, allows you to use it in coordination exercises, free kicks, tactical drills, and skill work.     * Product not compatible with discounts",out of stock,new,49.90 EUR,,https://n1gloves.com/en/inicio/16047-inflatable-dummy-n1-180-cm,https://n1gloves.com/11516-large_default/inflatable-dummy-n1-180-cm.jpg,N1 Goalkeeper,,AC-0020,0
18879,Goalkeeper Gloves Sirius 2.0 Black UGT+ II,"The Sirius 2.0 has arrived to redefine goalkeeping. With a revolutionary design and the new high-performance fabric  AirFlex Pro , this glove sets a new standard in flexibility, comfort, fit, and breathability. It perfectly combines lightness and structure, offering the ultimate balance. The definitive weapon for goalkeepers who demand the very best!",in stock,new,69.90 EUR,,https://n1gloves.com/en/inicio/18879-goalkeeper-gloves-sirius-20-black-ugt-ii,https://n1gloves.com/14935-large_default/goalkeeper-gloves-sirius-20-black-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRBLA-0365,132
18881,Goalkeeper Gloves Sirius 2.0 Aqua UGT+ II,"The Sirius 2.0 is here to break all boundaries. With a revolutionary design and new high-performance  AirFlex Pro , this glove redefines the standard for flexibility, fit, and breathability. The ultimate weapon for goalkeepers who demand the best!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/en/inicio/18881-goalkeeper-gloves-sirius-20-aqua-ugt-ii,https://n1gloves.com/22351-large_default/goalkeeper-gloves-sirius-20-aqua-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRAQU-0367,56
18882,Goalkeeper Gloves Sirius 2.0 Purple UGT+ II,"The Sirius 2.0 has arrived to redefine goalkeeping. With a revolutionary design and the new high-performance fabric  AirFlex Pro , this glove sets a new standard in flexibility, comfort, fit, and breathability. It perfectly combines lightness and structure, offering the ultimate balance. The definitive weapon for goalkeepers who demand the very best!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/en/inicio/18882-goalkeeper-gloves-sirius-20-purple-ugt-ii,https://n1gloves.com/14967-large_default/goalkeeper-gloves-sirius-20-purple-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRPUR-0368,77
