id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
117,Gym Sack Black,"Mochila espaciosa, ligera y resistente para guardar tus guantes y material de entrenamiento.  
 Sistema de ajuste personalizable de cuerdas. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,7.92 EUR,https://n1gloves.com/es/inicio/117-gym-sack-black-0685071015025,https://n1gloves.com/1125-large_default/gym-sack-black.jpg,N1 Goalkeeper,0685071015025,AC-0001,9
13533,Guantes de Portero Ares 2.0 Kids Neon,Guantes de portero para niños  con corte negativo y palma de Látex alemán 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/es/inicio/13533-guantes-de-portero-ares-20-kids-neon,https://n1gloves.com/9371-large_default/guantes-de-portero-ares-20-kids-neon.jpg,N1 Goalkeeper,,GL-KIDARE-324X,70
13534,Guantes de Portero Ares 2.0 Kids Orange,Guantes de portero para niños  con corte negativo y palma de Látex alemán 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/es/inicio/13534-guantes-de-portero-ares-20-kids-orange,https://n1gloves.com/10895-large_default/guantes-de-portero-ares-20-kids-orange.jpg,N1 Goalkeeper,,GL-KIDARE-0300,73
13537,Guantes de Portero Scorpius 2.0 Kids Aqua,Guantes de portero para niños  con corte negativo y palma de Látex alemán 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/es/inicio/13537-guantes-de-portero-scorpius-20-kids-aqua,https://n1gloves.com/10880-large_default/guantes-de-portero-scorpius-20-kids-aqua.jpg,N1 Goalkeeper,,GL-KIDSCO-0298,61
13543,Guantes de Portero Ares 2.0 Kids White,Guantes de portero para niños  con corte roll-negativo y palma de Látex alemán 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/es/inicio/13543-guantes-de-portero-ares-20-kids-white,https://n1gloves.com/10887-large_default/guantes-de-portero-ares-20-kids-white.jpg,N1 Goalkeeper,,GL-KIDARE-0299,60
15125,Guantes de Portero Ares 2.0 Blue Pink UGT+ II,"Descubre la evolución de la excelencia con los Ares 2.0 UGT+ II, los guantes de portero de la línea Premium de N1. Equipados con tecnología avanzada y diseñados para los porteros más exigentes, estos guantes representan un paso audaz hacia adelante en términos de agarre, comodidad y confianza en el campo.",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/es/inicio/15125-guantes-de-portero-ares-20-blue-pink-ugt-ii,https://n1gloves.com/14383-large_default/guantes-de-portero-ares-20-blue-pink-ugt-ii.jpg,N1 Goalkeeper,,GL-AREBLU-0317,55
16047,Muñeco hinchable N1- 180 cm,"Muñeco hinchable de entrenamiento de porteros N1.  Ideal tanto para entrenamientos específicos de porteros simulando un atacante o defensor que nos servirá como oposición del ejercicio, como para entrenamientos de equipo en tareas de centros y remate. Su alta resistencia gracias al material del que se compone te permitirá usarlo en ejercicios de coordinación, tiros libres, ejercicios tácticos y habilidad.   * Producto no compatible con descuentos",out of stock,new,49.90 EUR,,https://n1gloves.com/es/inicio/16047-muneco-hinchable-n1-180-cm,https://n1gloves.com/11516-large_default/muneco-hinchable-n1-180-cm.jpg,N1 Goalkeeper,,AC-0020,0
18879,Guantes de Portero Sirius 2.0 Black UGT+ II,"El Sirius 2.0 ha llegado para redefinir la portería. Con un diseño revolucionario y el nuevo tejido de alto rendimiento  AirFlex Pro , este guante establece un nuevo estándar en flexibilidad, comodidad, ajuste y transpiración. Combina ligereza y ajuste con armado a la perfección. ¡El arma definitiva para porteros que exigen lo mejor!",in stock,new,69.90 EUR,,https://n1gloves.com/es/inicio/18879-guantes-de-portero-sirius-20-black-ugt-ii,https://n1gloves.com/14935-large_default/guantes-de-portero-sirius-20-black-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRBLA-0365,138
18881,Guantes de Portero Sirius 2.0 Aqua UGT+ II,"El Sirius 2.0 ha llegado para redefinir la portería. Con un diseño revolucionario y el nuevo tejido de alto rendimiento  AirFlex Pro , este guante establece un nuevo estándar en flexibilidad, comodidad, ajuste y transpiración. Combina ligereza y ajuste con armado a la perfección. ¡El arma definitiva para porteros que exigen lo mejor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/es/inicio/18881-guantes-de-portero-sirius-20-aqua-ugt-ii,https://n1gloves.com/22351-large_default/guantes-de-portero-sirius-20-aqua-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRAQU-0367,58
18882,Guantes de Portero Sirius 2.0 Purple UGT+ II,"El  Sirius 2.0  ha llegado para redefinir la portería. Con un diseño revolucionario y el nuevo tejido de alto rendimiento  AirFlex Pro , este guante establece un nuevo estándar en flexibilidad, comodidad, ajuste y transpiración. Combina ligereza y ajuste con armado a la perfección. ¡El arma definitiva para porteros que exigen lo mejor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/es/inicio/18882-guantes-de-portero-sirius-20-purple-ugt-ii,https://n1gloves.com/14967-large_default/guantes-de-portero-sirius-20-purple-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRPUR-0368,79
