id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
117,Gym Sack Black,"Mochila espaciosa, ligera y resistente para guardar tus guantes y material de entrenamiento.  
 Sistema de ajuste personalizable de cuerdas. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,7.92 EUR,https://n1gloves.com/pt/inicio/117-gym-sack-black-0685071015025,https://n1gloves.com/1125-large_default/gym-sack-black.jpg,N1 Goalkeeper,0685071015025,AC-0001,9
13533,Luvas de Guarda-Redes Ares 2.0 Kids Neon,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/pt/inicio/13533-luvas-de-guarda-redes-ares-20-kids-neon,https://n1gloves.com/9371-large_default/luvas-de-guarda-redes-ares-20-kids-neon.jpg,N1 Goalkeeper,,GL-KIDARE-324X,71
13534,Luvas de Guarda-Redes Ares 2.0 Kids Orange,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/pt/inicio/13534-luvas-de-guarda-redes-ares-20-kids-orange,https://n1gloves.com/10895-large_default/luvas-de-guarda-redes-ares-20-kids-orange.jpg,N1 Goalkeeper,,GL-KIDARE-0300,73
13537,Luvas de Guarda-Redes Scorpius 2.0 Kids Aqua,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/pt/inicio/13537-luvas-de-guarda-redes-scorpius-20-kids-aqua,https://n1gloves.com/10880-large_default/luvas-de-guarda-redes-scorpius-20-kids-aqua.jpg,N1 Goalkeeper,,GL-KIDSCO-0298,62
13543,Luvas de Guarda-Redes Ares 2.0 Kids White,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,in stock,new,34.90 EUR,31.41 EUR,https://n1gloves.com/pt/inicio/13543-luvas-de-guarda-redes-ares-20-kids-white,https://n1gloves.com/10887-large_default/luvas-de-guarda-redes-ares-20-kids-white.jpg,N1 Goalkeeper,,GL-KIDARE-0299,60
15125,Guarda-Redes Ares 2.0 Blue Pink UGT+ II,"Descubra a evolução da excelência com as luvas de goleiro Ares 2.0 UGT+ II, parte da linha Premium da N1. Equipadas com tecnologia avançada e projetadas para os goleiros mais exigentes, essas luvas representam um passo audacioso em termos de aderência, conforto e confiança no campo.",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/15125-guarda-redes-ares-20-blue-pink-ugt-ii,https://n1gloves.com/14383-large_default/guarda-redes-ares-20-blue-pink-ugt-ii.jpg,N1 Goalkeeper,,GL-AREBLU-0317,56
16047,Boneco Inflável N1 - 180 cm,"Boneco inflável de treino para guarda-redes N1.    Ideal tanto para sessões de treino específicas para guarda-redes simulando um atacante ou defensor que serve como oposição no exercício, como para treinos de equipa em tarefas como cruzamentos e finalizações. A sua alta resistência, graças ao material de que é feito, permite-lhe utilizá-lo em exercícios de coordenação, livres diretos, treinos tácticos e trabalho de habilidades.     *Produto não compatível com descontos",out of stock,new,49.90 EUR,,https://n1gloves.com/pt/inicio/16047-boneco-inflavel-n1-180-cm,https://n1gloves.com/11516-large_default/boneco-inflavel-n1-180-cm.jpg,N1 Goalkeeper,,AC-0020,0
18879,Luvas de Guarda-Redes Sirius 2.0 Black UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,,https://n1gloves.com/pt/inicio/18879-luvas-de-guarda-redes-sirius-20-black-ugt-ii,https://n1gloves.com/14935-large_default/luvas-de-guarda-redes-sirius-20-black-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRBLA-0365,141
18881,Luvas de Guarda-Redes Sirius 2.0 Aqua UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/18881-luvas-de-guarda-redes-sirius-20-aqua-ugt-ii,https://n1gloves.com/22351-large_default/luvas-de-guarda-redes-sirius-20-aqua-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRAQU-0367,61
18882,Luvas de Guarda-Redes Sirius 2.0 Purple UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/18882-luvas-de-guarda-redes-sirius-20-purple-ugt-ii,https://n1gloves.com/14967-large_default/luvas-de-guarda-redes-sirius-20-purple-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRPUR-0368,79
