id,override,title,description,link
117,pt_XX,Gym Sack Black,"Mochila espaciosa, ligera y resistente para guardar tus guantes y material de entrenamiento.  
 Sistema de ajuste personalizable de cuerdas. 
  
 Composición: 100% Poliéster",https://n1gloves.com/pt/inicio/117-gym-sack-black-0685071015025
13533,pt_XX,Luvas de Guarda-Redes Ares 2.0 Kids Neon,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,https://n1gloves.com/pt/inicio/13533-luvas-de-guarda-redes-ares-20-kids-neon
13534,pt_XX,Luvas de Guarda-Redes Ares 2.0 Kids Orange,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,https://n1gloves.com/pt/inicio/13534-luvas-de-guarda-redes-ares-20-kids-orange
13537,pt_XX,Luvas de Guarda-Redes Scorpius 2.0 Kids Aqua,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,https://n1gloves.com/pt/inicio/13537-luvas-de-guarda-redes-scorpius-20-kids-aqua
13543,pt_XX,Luvas de Guarda-Redes Ares 2.0 Kids White,Luva de Guarda-Redes para crianças  com corte negativo e palma de latex alemão 100% natural Super Low Grip.,https://n1gloves.com/pt/inicio/13543-luvas-de-guarda-redes-ares-20-kids-white
15117,pt_XX,Casaco acolchoado,"Casaco acolchoado com enchimento sintético, para o frio do banco e das deslocações. Aquece como uma peça de penas sem o ser: aguenta melhor a humidade, seca mais depressa e não perde volume com o uso. Exterior 100% poliéster. Do tamanho 140 júnior ao XL.",https://n1gloves.com/pt/inicio/15117-casaco-acolchoado
15125,pt_XX,Guarda-Redes Ares 2.0 Blue Pink UGT+ II,"Descubra a evolução da excelência com as luvas de goleiro Ares 2.0 UGT+ II, parte da linha Premium da N1. Equipadas com tecnologia avançada e projetadas para os goleiros mais exigentes, essas luvas representam um passo audacioso em termos de aderência, conforto e confiança no campo.",https://n1gloves.com/pt/inicio/15125-guarda-redes-ares-20-blue-pink-ugt-ii
16047,pt_XX,Boneco Inflável N1 - 180 cm,"Boneco inflável de treino para guarda-redes N1.    Ideal tanto para sessões de treino específicas para guarda-redes simulando um atacante ou defensor que serve como oposição no exercício, como para treinos de equipa em tarefas como cruzamentos e finalizações. A sua alta resistência, graças ao material de que é feito, permite-lhe utilizá-lo em exercícios de coordenação, livres diretos, treinos tácticos e trabalho de habilidades.     *Produto não compatível com descontos",https://n1gloves.com/pt/inicio/16047-boneco-inflavel-n1-180-cm
18879,pt_XX,Luvas de Guarda-Redes Sirius 2.0 Black UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",https://n1gloves.com/pt/inicio/18879-luvas-de-guarda-redes-sirius-20-black-ugt-ii
18881,pt_XX,Luvas de Guarda-Redes Sirius 2.0 Aqua UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",https://n1gloves.com/pt/inicio/18881-luvas-de-guarda-redes-sirius-20-aqua-ugt-ii
18882,pt_XX,Luvas de Guarda-Redes Sirius 2.0 Purple UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",https://n1gloves.com/pt/inicio/18882-luvas-de-guarda-redes-sirius-20-purple-ugt-ii
18883,pt_XX,Luvas de Guarda-Redes Sirius 2.0 Pink UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",https://n1gloves.com/pt/inicio/18883-luvas-de-guarda-redes-sirius-20-pink-ugt-ii
18911,pt_XX,Luvas de Guarda-Redes Sirius 2.0 Neon UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",https://n1gloves.com/pt/inicio/18911-luvas-de-guarda-redes-sirius-20-neon-ugt-ii
20003,pt_XX,Boneco Inflável N1 - 205 cm,"Boneco inflável de treino para guarda-redes N1.    Ideal tanto para sessões de treino específicas para guarda-redes simulando um atacante ou defensor que serve como oposição no exercício, como para treinos de equipa em tarefas como cruzamentos e finalizações. A sua alta resistência, graças ao material de que é feito, permite-lhe utilizá-lo em exercícios de coordenação, livres diretos, treinos tácticos e trabalho de habilidades.     *Produto não compatível com descontos",https://n1gloves.com/pt/inicio/20003-boneco-inflavel-n1-205-cm
